2010-09-21 10:37:04 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 10:39:00 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 13:23:42 Debug: Notice (8): Undefined variable: fileName in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 299]
2010-09-21 13:25:04 Debug: Notice (8): Undefined variable: fileName in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 299]
2010-09-21 13:26:19 Debug: Notice (8): Undefined variable: fileName in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 299]
2010-09-21 13:30:01 Debug: Notice (8): Undefined index:  image1 in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 43]
2010-09-21 13:44:43 Debug: Notice (8): Undefined index:  image1 in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 43]
2010-09-21 14:29:10 Debug: Notice (8): Undefined index:  image1 in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 58]
2010-09-21 16:01:25 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 16:09:26 Debug: Notice (8): Undefined index:  anyField in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 54]
2010-09-22 09:13:03 Debug: Notice (8): Undefined property: View::$Model in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 6]
2010-09-22 09:13:15 Debug: Notice (8): Undefined property: View::$Model in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 6]
2010-09-22 09:13:15 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 6]
2010-09-22 09:13:47 Debug: Notice (8): Undefined property: View::$uses in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 6]
